"";"ImePriimek";"Premozenje";"Vir";"Leto"
"1";"Bill Gates";75000;"Microsoft";2015
"2";"Amancio Ortega";67000;"Zara";2015
"3";"Warren Buffett";60800;"Berkshire Hathaway";2015
"4";"Carlos Slim Helu & family";50000;"telecom";2015
"5";"Jeff Bezos";45200;"Amazon.com";2015
"6";"Mark Zuckerberg";44600;"Facebook";2015
"7";"Larry Ellison";43600;"software";2015
"8";"Michael Bloomberg";40000;"Bloomberg LP";2015
"9";"Charles Koch";39600;"diversified";2015
"10";"David Koch";39600;"diversified";2015
"11";"Liliane Bettencourt & family";36100;"L'Oreal";2015
"12";"Larry Page";35200;"Google";2015
"13";"Sergey Brin";34400;"Google";2015
"14";"Bernard Arnault & family";34000;"LVMH";2015
"15";"Jim Walton";33600;"Wal-Mart";2015
"16";"Alice Walton";32300;"Wal-Mart";2015
"17";"S. Robson Walton";31900;"Wal-Mart";2015
"18";"Wang Jianlin";28700;"real estate";2015
"19";"Jorge Paulo Lemann";27800;"beer";2015
"20";"Li Ka-shing";27100;"diversified";2015
"21";"Beate Heister & Karl Albrecht Jr.";25900;"supermarkets";2015
"22";"Sheldon Adelson";25200;"casinos";2015
"23";"George Soros";24900;"hedge funds";2015
"24";"Phil Knight & family";24400;"Nike";2015
"25";"David Thomson & family";23800;"media";2015
"26";"Steve Ballmer";23500;"Microsoft";2015
"27";"Forrest Mars, Jr.";23400;"candy";2015
"28";"Jacqueline Mars";23400;"candy";2015
"29";"John Mars";23400;"candy";2015
"30";"Maria Franca Fissolo";22100;"Nutella, chocolates";2015
"31";"Lee Shau Kee";21500;"real estate";2015
"32";"Stefan Persson";20800;"H&M";2015
"33";"Jack Ma";20500;"e-commerce";2015
"34";"Theo Albrecht, Jr. & family";20300;"Aldi, Trader Joe's";2015
"35";"Michael Dell";19800;"Dell computers";2015
"36";"Mukesh Ambani";19300;"petrochemicals, oil & gas";2015
"37";"Leonardo Del Vecchio & family";18700;"eyeglasses";2015
"38";"Susanne Klatten";18500;"BMW, pharmaceuticals";2015
"39";"Georg Schaeffler";18100;"automotive";2015
"40";"Paul Allen";17500;"Microsoft, investments";2015
"41";"Prince Alwaleed Bin Talal Alsaud";17300;"investments";2015
"42";"Joseph Safra";17200;"banking";2015
"43";"Carl Icahn";17000;"investments";2015
"44";"Laurene Powell Jobs & family";16700;"Apple, Disney";2015
"45";"Dilip Shanghvi";16700;"pharmaceuticals";2015
"46";"Ma Huateng";16600;"internet services";2015
"47";"Dieter Schwarz";16400;"retail";2015
"48";"Ray Dalio";15600;"hedge funds";2015
"49";"Stefan Quandt";15600;"BMW";2015
"50";"James Simons";15500;"hedge funds";2015
"51";"Aliko Dangote";15400;"cement, sugar, flour";2015
"52";"Michael Otto & family";15400;"retail, real estate";2015
"53";"Len Blavatnik";15300;"diversified";2015
"54";"Donald Bren";15100;"real estate";2015
"55";"Azim Premji";15000;"software services";2015
"56";"Serge Dassault & family";14700;"aviation";2015
"57";"Tadashi Yanai & family";14600;"fashion retail";2015
"58";"Cheng Yu-tung";14500;"diversified";2015
"59";"Hinduja family";14500;"Hinduja Group";2015
"60";"Leonid Mikhelson";14400;"gas, chemicals";2015
"61";"David & Simon Reuben";14400;"investments, real estate";2015
"62";"Stefano Pessina";13400;"drugstores";2015
"63";"Mikhail Fridman";13300;"oil, banking, telecom";2015
"64";"Dietrich Mateschitz";13200;"Red Bull";2015
"65";"Abigail Johnson";13100;"money management";2015
"66";"Kjeld Kirk Kristiansen & family";13100;"Lego";2015
"67";"Joseph Lau";13100;"real estate";2015
"68";"Gerald Cavendish Grosvenor & family";13000;"real estate";2015
"69";"Thomas & Raymond Kwok";13000;"real estate";2015
"70";"Marcel Herrmann Telles";13000;"beer";2015
"71";"Henry Sy & family";12900;"SM Investments Corporation";2015
"72";"Steve Cohen";12700;"hedge funds";2015
"73";"Pallonji Mistry";12500;"construction";2015
"74";"Hans Rausing";12500;"packaging";2015
"75";"Alisher Usmanov";12500;"steel, telecom, investments";2015
"76";"Charlene de Carvalho-Heineken & family";12300;"Heineken";2015
"77";"Charles Ergen";12200;"satellite TV";2015
"78";"Ronald Perelman";12100;"leveraged buyouts";2015
"79";"Vladimir Potanin";12100;"metals";2015
"80";"Stephen Ross";12000;"real estate";2015
"81";"Patrick Soon-Shiong";11900;"pharmaceuticals";2015
"82";"Masayoshi Son";11700;"internet, telecom";2015
"83";"Heinz Hermann Thiele & family";11700;"brakes";2015
"84";"Francois Pinault & family";11500;"luxury goods";2015
"85";"David Tepper";11400;"hedge funds";2015
"86";"Gennady Timchenko";11400;"oil & gas";2015
"87";"Carlos Alberto Sicupira";11300;"beer";2015
"88";"Shiv Nadar";11100;"software services";2015
"89";"Thomas Peterffy";11100;"discount brokerage";2015
"90";"Robin Li";11000;"internet search";2015
"91";"Alain Wertheimer";11000;"Chanel";2015
"92";"Gerard Wertheimer";11000;"Chanel";2015
"93";"Alexey Mordashov";10900;"steel, investments";2015
"94";"Elon Musk";10700;"Tesla Motors";2015
"95";"Charoen Sirivadhanabhakdi";10700;"drinks, real estate";2015
"96";"Petr Kellner";10600;"banking, insurance";2015
"97";"Rupert Murdoch & family";10600;"newspapers, TV network";2015
"98";"Viktor Vekselberg";10500;"metals, energy";2015
"99";"Lukas Walton";10400;"Wal-Mart";2015
"100";"Eric Schmidt";10200;"Google";2015
"101";"Iris Fontbona & family";10100;"mining";2015
"102";"Massimiliana Landini Aleotti & family";10100;"pharmaceuticals";2015
"103";"Mike Adenuga";10000;"telecom, oil";2015
"104";"Klaus-Michael Kuehne";10000;"shipping";2015
"105";"Robert Kuok";10000;"palm oil/shipping/real estate";2015
"106";"Samuel Newhouse, Jr.";10000;"media";2015
"107";"Lei Jun";9800;"smartphones";2015
"108";"Philip Anschutz";9700;"investments";2015
"109";"Jim Kennedy";9700;"media";2015
"110";"Blair Parry-Okeden";9700;"media";2015
"111";"John Paulson";9700;"hedge funds";2015
"112";"Lee Kun-Hee";9600;"Samsung";2015
"113";"Hasso Plattner & family";9500;"software";2015
"114";"Stephen Schwarzman";9500;"investments";2015
"115";"Andrew Beal";9400;"banks, real estate";2015
"116";"Vladimir Lisin";9300;"steel, transport";2015
"117";"John Menard, Jr.";9300;"home improvement stores";2015
"118";"Donald Newhouse";9300;"media";2015
"119";"Udo & Harald Tschira";9300;"Software";2015
"120";"Galen Weston & family";9300;"retail";2015
"121";"German Larrea Mota Velasco & family";9200;"mining";2015
"122";"He Xiangjian";9000;"home appliances";2015
"123";"Leonard Lauder";9000;"Estee Lauder";2015
"124";"Vagit Alekperov";8900;"oil";2015
"125";"Dustin Moskovitz";8900;"Facebook";2015
"126";"Luis Carlos Sarmiento";8900;"banking";2015
"127";"Gina Rinehart";8800;"mining";2015
"128";"German Khan";8700;"oil, banking, telecom";2015
"129";"Ernesto Bertarelli";8600;"biotech, investments";2015
"130";"Hui Ka Yan";8600;"real estate";2015
"131";"Jan Koum";8600;"WhatsApp";2015
"132";"Xavier Niel";8600;"internet, telecom";2015
"133";"John Fredriksen";8500;"shipping";2015
"134";"Cyrus Poonawalla";8500;"vaccines";2015
"135";"Gianluigi & Rafaela Aponte";8400;"shipping";2015
"136";"Lakshmi Mittal";8400;"steel";2015
"137";"Eyal Ofer";8400;"real estate, shipping";2015
"138";"Mohammed Al Amoudi";8300;"oil, diversified";2015
"139";"Hank & Doug Meijer";8200;"supermarkets";2015
"140";"Andrey Melnichenko";8200;"coal, fertilizers";2015
"141";"William Ding";8100;"online games";2015
"142";"R. Budi Hartono";8100;"banking, tobacco";2015
"143";"Reinhold Wuerth & family";8100;"fasteners";2015
"144";"James Goodnight";8000;"software";2015
"145";"Johann Graf";8000;"gambling";2015
"146";"Michael Hartono";7900;"tobacco, banking";2015
"147";"Dietmar Hopp & family";7900;"software";2015
"148";"Stanley Kroenke";7700;"sports, real estate";2015
"149";"Dmitry Rybolovlev";7700;"fertilizer";2015
"150";"Suh Kyung-Bae";7700;"cosmetics";2015
"151";"Roman Abramovich";7600;"steel, investments";2015
"152";"Emmanuel Besnier";7600;"cheese";2015
"153";"Lui Che Woo";7600;"casinos";2015
"154";"Robert & Philip Ng";7600;"real estate";2015
